task_ref,family_id,proof_family,property_class,difficulty,claude-opus-4-8,grok,kimi/kimi-for-coding,minimax/minimax-m3,mistralai/Leanstral-2603,openai-gpt-55,openai-gpt-55-pro,virtuals/deepseek-v4-flash,virtuals/deepseek-v4-pro,virtuals/xiaomi-mimo-v2-5,xai/grok-4.3,zai/glm-5.2,attempts,passes,pass_rate,cohort_pass_rate,divisiveness,mean_total_tokens
safe/owner_manager_reach/remove_owner_owner_list_invariant,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,789851.9
safe/owner_manager_reach/setup_owners_acyclicity,safe,protocol_transition_correctness,linked_list_acyclicity,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,985822.8
safe/owner_manager_reach/setup_owners_in_list_reachable,safe,protocol_transition_correctness,linked_list_invariant,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,685748.9
safe/owner_manager_reach/setup_owners_owner_list_invariant,safe,protocol_transition_correctness,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,730159.5
safe/owner_manager_reach/swap_owner_acyclicity,safe,state_preservation_local_effects,linked_list_acyclicity,hard,fail,fail,fail,fail,fail,pass,,fail,fail,fail,fail,fail,11,1,0.0909,0.1,0.2,1039500.8
safe/owner_manager_reach/swap_owner_in_list_reachable,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,592894.5
safe/owner_manager_reach/swap_owner_is_owner_correctness,safe,functional_correctness,isOwner_effect,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,693763.8
safe/owner_manager_reach/swap_owner_owner_list_invariant,safe,state_preservation_local_effects,linked_list_invariant,hard,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,750046.4
term_finance/term_auction_clearing/clearing_assignment_correct,term_finance,functional_correctness,accounting_and_rate_guard,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,524524.4
termmax/order_v2_buy_xt_single_segment/swap_debt_token_to_xt_updates_virtual_xt_reserve,termmax,protocol_transition_correctness,reserve_state_transition,easy,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,713808.9
usual/dao_collateral/redeem_conservation,usual,state_preservation_local_effects,accounting_conservation,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,811055.6
usual/dao_collateral/redeem_fee_formula,usual,functional_correctness,arithmetic_rounding,easy,pass,pass,pass,pass,fail,pass,,pass,pass,pass,pass,pass,11,10,0.9091,0.9,0.2,116913.9
usual/dao_collateral/redeem_return_formula,usual,functional_correctness,arithmetic_rounding,easy,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,844072.8
usual/dao_collateral/swap_conservation,usual,state_preservation_local_effects,accounting_conservation,easy,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,864996.1
usual/dao_collateral/swap_value_conservation,usual,state_preservation_local_effects,accounting_conservation,easy,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,953334
wildcat/borrow_liquidity_safety/positive_borrow_preserves_required_liquidity,wildcat,functional_correctness,accounting_bound,medium,pass,pass,pass,fail,pass,pass,,pass,pass,pass,pass,pass,11,10,0.9091,0.9,0.2,314366.1
zama/erc7984_confidential_token/burn_decreases_supply,zama,functional_correctness,supply_update,medium,fail,fail,fail,fail,fail,fail,,fail,fail,fail,fail,fail,11,0,0.0,0.0,0.0,691311.3
